Device Type,Brand Name,Model,Software
IP Cameras,Hikvision,DS-2CD2T42WD-I8,Custom firmware
Smart Thermostats,Nest,Learning Thermostat,Nest software
Smart Light Bulbs,Philips Hue,Hue A19,Zigbee protocol
Smart Door Locks,Ring,Smart Lock,Z-Wave protocol
Smart Plugs,TP-Link,HS100,Kasa App
Smart TVs,Samsung,QLED Series,Tizen OS
Home Security Systems,ADT,Pulse,Pulse App
Baby Monitors,VTech,DM221,DECT technology
Wearable Fitness Trackers,Fitbit,Charge 4,Fitbit OS
Smart Refrigerators,LG,InstaView Door-in-Door,LG ThinQ
Connected Cars,Tesla,Model S,Tesla OS
Smart Speakers,Amazon,Echo Dot,Alexa Voice Service
Smartwatches,Apple,Apple Watch Series 6,watchOS
Smart Home Hubs,Google,Nest Hub,Google Assistant
Networked Printers,HP,LaserJet Pro,HP Printer OS
Connected Medical Devices,Medtronic,MiniMed Insulin Pump,Medtronic proprietary software
Smart Doorbells,Ring,Video Doorbell 3,Ring App
Smart Ovens,Samsung,Flex Duo,Samsung Smart Home
Voice Assistants,Google,Google Nest Mini,Google Assistant
Smart Watering Systems,Rachio,Rachio 3,Rachio App
Smart Vacuum Cleaners,iRobot,Roomba 980,iRobot HOME App
Smart Beds,Sleep Number,360 Smart Bed,SleepIQ
Smart Irrigation Systems,RainMachine,Touch HD-12,RainMachine OS
Connected Garage Door Openers,Chamberlain,MyQ Smart Garage Hub,MyQ App
Connected Washing Machines,Samsung,WF45R6100AW,SmartThings
Smart Routers,D-Link,DIR-615,D-Link Firmware
Smart Locks,August,Smart Lock Pro,August Home App
Smart Light Switches,Belkin,WeMo Light Switch,WeMo App
Connected Thermostats,Ecobee,Ecobee4,Ecobee App
Smart Doorbell Cameras,Nest,Hello Doorbell,Nest App
Smart Smoke Detectors,Nest,Protect,Nest App
Smart Security Cameras,Arlo,Pro 3,Arlo App
Connected DVRs,Hikvision,DS-7208HQHI-K1,Hikvision Firmware
Smart Coffee Makers,Keurig,K-Elite,Keurig App
Connected Alarm Systems,SimpliSafe,Home Security System,SimpliSafe App
Smart Home Assistants,Amazon,Echo Show,Alexa Voice Service
Smart Door Sensors,Ring,Contact Sensor,Ring App
Smart Air Conditioners,LG,Dual Inverter Smart AC,LG ThinQ
Smart Ceiling Fans,Haiku,L Series,Haiku Home App
Connected Lighting Systems,LIFX,Mini White,LIFX App
Smart Hot Water Heaters,Rheem,EcoNet Enabled,Rheem EcoNet App
Smart Home Controllers,Wink,Wink Hub 2,Wink App
Smart Bike Locks,Bitlock,Bitlock Smart Lock,Bitlock App
Connected Smart Watches,Garmin,Forerunner 945,Garmin Connect
Smart Pet Feeders,Petnet,SmartFeeder,Petnet App
Connected Air Purifiers,Dyson,Pure Cool,Dyson Link App
Smart Security Lights,Ring,Smart Lighting,Ring App
Connected Electric Scooters,Segway,Ninebot ES4,Segway-Ninebot App
Smart Kitchen Appliances,Whirlpool,Smart Microwave,Whirlpool App
Connected Toasters,Revolution,R180,Revolution Cooking App
Smart Water Heaters,AO Smith,Signature Premier,AO Smith App
Smart Home Lighting,Nanoleaf,Light Panels,Nanoleaf App
Smart Dehumidifiers,Frigidaire,FFAP5033W1,Frigidaire App
Smart Yard Devices,GreenIQ,Smart Garden Hub,GreenIQ App
Connected Wine Fridges,Vinotemp,EL-16803,Vinotemp App
Smart Electric Meters,Sensus,FlexNet,Sensus Analytics
Smart Garage Door Openers,Nexx,NXG-100,Nexx Home App
Connected Televisions,Vizio,P-Series Quantum,SmartCast
Connected Smart Mirrors,HiMirror,HiMirror Mini,HiMirror OS
Smart Blinds,Ikea,FYRTUR,Ikea Home Smart
Smart Air Fresheners,Febreze,Plug Smart,Febreze App
Connected Water Filtration Systems,Brita,Infinity,Brita App
Smart Floor Lamps,Govee,Smart LED Floor Lamp,Govee Home
Connected Humidifiers,Levoit,LV600HH,VeSync App
Smart Lighting Strips,Yeelight,Aurora Lightstrip Plus,Yeelight App
Connected Blenders,Nutribullet,Balance,Nutribullet App
Smart Electric Outlets,Eve,Energy Smart Plug,Eve App
Connected Kitchen Scales,Etekcity,Smart Nutrition Scale,VeSync App
Smart Pill Dispensers,Hero,Smart Dispenser,Hero App
Connected Sous Vide Machines,Anova,Precision Cooker,Anova App
Smart Drones,DJI,Mavic Air 2,DJI Fly App
Smart Lawn Mowers,Husqvarna,Automower 315X,Automower Connect
Connected Wi-Fi Extenders,Netgear,Nighthawk X6S,Nighthawk App
Smart Security Alarms,Abode,Iota,Abode App
Connected Refrigerators,Samsung,Family Hub Refrigerator,SmartThings
Smart Bike Helmets,Lumos,Matrix,Lumos App
Connected Power Strips,Kasa,HS300,Kasa Smart App
Smart Electric Toothbrushes,Oral-B,Genius X,Oral-B App
Connected Hair Dryers,Dyson,Supersonic,Dyson Link App
Smart Home Lighting Controllers,Lutron,Caseta Wireless,Lutron App
Connected Door Locks,Yale,Assure Lock SL,Yale Secure App
Smart Air Quality Monitors,Awair,Element,Awair App
Connected Exercise Bikes,Peloton,Bike+,Peloton App
Smart Pet Cameras,Furbo,Dog Camera,Furbo App
Connected Kitchen Ovens,June,June Oven,June App
Smart Surveillance Cameras,Blink,XT2,Blink Home Monitor
Connected Fitness Scales,Withings,Body+,Withings Health Mate
Smart Weather Stations,Netatmo,Weather Station,Netatmo App
Connected BBQ Grills,Traeger,Pro 780,Traeger App
Smart Home Theater Systems,Bose,SoundTouch 300,Bose Music App
Connected Thermostats,Honeywell,T9,Honeywell Home App
Smart Bedside Lamps,Xiaomi,Mi Bedside Lamp 2,Mi Home App
Connected Security Sensors,Aeotec,Multisensor 6,Aeotec App
Smart Sous Vide Devices,Joule,Sous Vide,Joule App
Connected Electric Kettles,Smarter,iKettle 3rd Gen,Smarter App
Smart Home Surveillance Systems,Canary,Pro,Canary App
